tweet	subtask_b
 what the actual fuckill report them this is so fucked up	TIN
 i really think he is mentally ill why does his family not address the issues maybe jared did with the oped	TIN
 david birnbaumthe invisible manexcept at election time exactly what is worst about the liberalsarrogance amp complacency did i mention arrogance amp contempt for the electors	TIN
 because the average american has  lying around to buy a new glock more likely mr antifa will be using his unemployment check to purchase some dental work or a casket	TIN
 risking his own ass lol	TIN
 yall some bitches lol	TIN
 here come the beta liberals lmao convo muted you can cry all day to yourselves	TIN
 if kavanaugh is confirmed there will be two sexual deviants sitting on the supreme court both conservatives and nominated by republicans democrats put women on the scotus and republicans put perverted men there for their lifetime stopkavanaugh stoptrump savescotus	TIN
 you dont get it it all women dont like to come forward because of men like you when they finally do come forward men like you either slut shame them or call them liars men like you are shy a lot of victims remain silent	TIN
 trying to shape opinion mockingbirdmedia at its worse read the comments it failed miserably maga greatawakening thestorm wethepeople wwgwga draintheswamp releasethevideo mockingbirdmedia fakenews qanon qanonchan url	TIN
 this is because japan have a pm with common sense amp foresight they do not pander to muslims like may does tory political suicide  ge   url ex tory	TIN
 the most ironic thing is the dems hasten their own demise while empowering their executioners do they think once this monster is unleashed that it will not turn on them first maga wwgwga written by antifa terrorists  url	TIN
now she scarred herself for life lol maga url	TIN
 she and him beign a joint acct have called me and grok everything under the sun the same person women racist redneck antifa kkk members grannies yes grannies haha etc its pretty common when the fraud gets busted to start calling the ones who busted them hilarious names	TIN
 neither does antifa or black lives matter or any other soros funded groups	TIN
 she is such a witch	TIN
 anne coulter oh and jack abramoff you kids were stupid enough to be courted by conservatives when they showed up on us campuses back in  so theres two	TIN
 if you move ahead with kavanaughs nominatin without more information you are committing an ethical and legal violationu violated the constitution with merrick garland amp now this horrible candidate who says precedent can be overturned wait for more info amp be sure	TIN
 he is that stupid	TIN
 thank you  yes he is so sick 	TIN
 liberals are vile vicious and disgusting url	TIN
 she is as dumb as she looks	TIN
 so you realize what a fool you are making of yourself with your weird obsession over susansarandon maybe do some research b spouting off nonsense	TIN
 i never watch the nfl  panthers suck by the way 	TIN
 nobody cares about paid protesters the capitol police need to get a hold on them lock them up	TIN
 climate change is a myth gun control is unconstitutional gestapo what a stupid thing to say they are upholding laws that have been on the books since  dumbasses	TIN
 gawd you are missing the point so hard yes she could have point is she is expected too the responsibility lies solely on the woman in our culture the man is not berated for his actions the woman is listen to you silly girl you are part of that culture	TIN
 wonder if he apologized to diamond and silk for calling them a minstrel show he should have been fired but there he is making faces	TIN
 and if youre in antifa you are one of them shit for brains here worship your queen she needs her toe cheese licked out url	TIN
 if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters	TIN
 again another b story no one is watching football because of this a	TIN
 am eye see kay he why am oh you ass he	TIN
 she is a liar	TIN
 no just imagining if we found a picture of bret holding a woman like this liberals will go insane	TIN
 he is a coward	TIN
 that is just awful  he never was much anyway a grown man acting like that a bully  best to you and hubby mark  maga 	TIN
 antifa displays hate on those they disagree withyou are being hypocritical	TIN
 thankstrump this is a start we must get these numbers down to  zero by any and all means necessary these socalled refugees who are not terrorist sexual criminals must stop being cowards and return to their native lands to fight maga refugeesnotwelcome	TIN
 the epitome of class a big fat class	TIN
 i find it very offensive that you know what black people feel as a black not african because i was born in america want recognition then build your own stuff its the same with conservatives that cry about censorship if you dont like the rules build your own house url	TIN
 what was an abuse of power was all the crap you and the hussein gang pulled off your big contribution was the fast and furious caper to bring in gun control in strict contravention of the nd amendment but dont worry justice is coming for you and barrys band of outlaws	TIN
 i remember how much we were making fun of conservatives in the s for thinking that puppets were gay now people are upset because theyre not gay pbs needs to put on a documentary teaching people how puppets are made	TIN
 just the fact that stopkavanagh repeatedly attempted to block the abortion for an undocumented immigrant which she wanted tells me he is unfit to serve on the supreme court we dont need a person who cherrypicks what laws will or will not be respected 	TIN
 fuck me daddy	TIN
 i suggest that you get worser jobs as you are just what they dont want you might of even been in the same office you might of been arguing with yourself your just both gay	TIN
 one could say that she is the one coward she could probably end this charade but continues to sabotage our country with her silence plus shes a sad over facelifted former soft porn model	TIN
 he is a man who allowed the wife of one of his coaches to be abused for years while he covered it up and threw everyone including his own wife under the bus to help himself when all of his lies he never thought anyone would knowcame out he is a total pos	TIN
 as a kid of legal immigrants i can attest you are  correct they follow the law to the letter in most cases because they worked so damn hard to get her legally they wont do anything to risk their status the illegals have contempt for our laws and pull the scams 	TIN
 reason is he is in a small market on a mediocre team	TIN
 he wants his  min of fame	TIN
 scaramucci cashing in on the donald taking those blue collar folks for every last penny lmao at the maga folks suckers	TIN
 im not a muppet im a   lbs voter who is of puerto rican decent that doesnt take bs from white liberals like you	TIN
 the fbi would be the proper authority to administer this polygraph despite their corruption at the top of their organization	TIN
 he is not a dalit or a muslim no need to remember	TIN
 when is enough enough this is abhorrent and inexcusable your fearless leader seems to have forgotten that he is a public servant url	TIN
 you were on the same stage as farrakhan you total hypocrite you are pathetic	TIN
  says heshe is white any other white people notice how many shitty white people there are or am i the only one who sees this	TIN
people leaving racist comments on my posts will be instantly blocked there are low follow accounts posting this crap and i think they are trying to make maga look bad if you are racist in any way feel free to block me because i think youre an ignorant pos	TIN
 hey sickholder were you the dirty filthy greasy cheesy negarrrr who was in contempt of congress dont open your mouth its extremely stink	TIN
 ha if you really cant see the hypocrisy that is antifa then you have obvious drunk the cool aid	TIN
 he thinks he is smart me i dont think that	TIN
gets period you are the cause of my 	TIN
 hmm id do something like getting really high quality artists to draw really boring cars like a fucking  grand prix or something	TIN
 i dont believe shes even getting death threats conservatives dont roll that way plus her amp her attorneys bankroll is soros	TIN
 you go mike and by the way sarah she is the best lair  url	TIN
 homer losing his boner over this is very petty there was a resemblance but again even if she is if they arent shoving it in our face then its okay	TIN
 for lying how much is the dncsorosantifa paying her hows your chinese spy doing	TIN
 this guy wants to be a successful producer and he is tweeting stuff like this	TIN
 we have nothing to lose in dumping rump asap he is a menace	TIN
 man that sucks unreal	TIN
 very disturbed by how this platform has become like a dictatorship from the soviet state	TIN
 almost forgot you was a nigga in ya past life lmao	TIN
 foolish why because some idiots are doing whatever they can to sabotage him and  liberals are acting completely immoral and have no respect for those millions of legal voters who voted for letsgovern	TIN
 yall need to know that she is human being and knew mac for so many years and was in a relationship with him shes grieving she doesnt have post something to prove that and it is not her fault he died like damn stop blaming this poor girl his addiction killed him	TIN
nickferrari seems to be intentionally misleading his viewers suggesting paedophiles among whites are the same percentage as muslims and that we are only angry at one no mr ferrari  i think not lbc lbcradio maga mcga mega mbga conservatives patriots url	TIN
 means nothing your always so dramatic and none of your promises ever come true not sure why i still follow you im starting to realize you are full of crap	TIN
 he is a malignant narcissist	TIN
 liberals with their lies again	TIN
 hes comin for ur woolly bitches	TIN
 da fuck is going on people theres the mens room and the womens room pick one and stick w it 	TIN
tcot maga complacency kills vote in november url	TIN
 carrey is a sick man	TIN
 lol  every gf and ein track whole ass album pahh	TIN
 agree thats hatred beyond compare her feeling of bitterness of the duterte presidency and its success is evident on her tweets and articles  was really a slap on the face on the yellow intellectuals 	TIN
 kerry is so full of shit he is undermining things and he knows it the iran debacle is his baby and he wants to keep it no matter what it costs	TIN
 and the nra supported gun control when it was targeting the black panthers who were defending black neighbourhoods against police brutality	TIN
 what are you afraid of liberals you screamed for transparencynow that potus is doing just that you are screaming to keep it secretthe truth is there you dont want it seenliberals are hypocrites amp the alphabet agencies have some bad apples involved in a soft coup tick tock	TIN
 ca has inadequate gun control	TIN
 shes probably a millionaire now and once they get paid all that money to slander and ruin someones name they go away because they dont want to get sued for slanderlibel the democrat party pays a lot of money to get people to make false accusations against conservatives	TIN
 shes a great comedian where as you are a greatnothing	TIN
 this is not the first time she has expressed this dismissive attitude toward public outcry against her votes those people will be a factor when they vote her ass out of office in  years i think she is toast	TIN
 how convenient a conservative dummy believes people are selectively unemployedconservatives always try to use this type of propaganda no factsjust their warped conservative beliefs its very clearmany conservatives like dont have the ability to learn or think	TIN
 oh this is gonna get some antifa idiots shot so fast  they dont even realize gun owners are usually really aware of whats going on around them	TIN
 and your president respects all of that you liberals do not	TIN
 as my elected mp could you please explain why is still promoting ideas that the eu have already rejected weve  months to go and nothing appears to be moving onward are like the blind leading the blind brexitshambles brexitmeansbrexit url	TIN
 we are so glad we dont know anyone like those miscreant pitiful bunch	TIN
 poor old rudy he is as full of shit as a christmas goose	TIN
 where did you dig this one from she is dope sha	TIN
 concert goers massacred in fort worth with mm ruger p the nra calls gun control research unethical	TIN
 prove your claim or be exposed as the lying piece of shit you are meanwhile url	TIN
 at least youve been some type of fucked	TIN
 hotel guests killed in corpus christi with mm ruger p the nra calls gun control research unethical	TIN
 i met mark and he is amazing he is just as sassy in real life as in the show	TIN
 why do you identify as antifa if youre transphobic	TIN
 occupy wall streetwhere women got raped	TIN
 time im really starting to hate that wordshe had all the time in the world to open her mouthreally shut up about time enough of this leftliberals bull shit about time you and she have no case actually time is what is hurting her case	TIN
 sam was singing and they didnt tell her to stop singing and she thanked them unbelievable who the hell is she talking to its bad enough when she is talking to one of the houseguest  but to keep talking to herself wonder what her family think about her going nuts	TIN
 calling conservatives hillbillieshmmm thats original funny how many poor hillbillies you tweet about have incomes and iqs  times higher than you your humour sucks btw	TIN
 me estoy fucking alterando	TIN
 i had no idea all republicans were nazi racists till trump got elected imagine my surprise im native american so i took it hard finding out i was a racist was despondent went around punching out antifa to work through my depression	TIN
 disgraceful he is innocent until proven guilty which will not happen because she is lying	TIN
 thats what happens when you let a liberal get a hold of a gun that would be a good place to start gun control ban liberals from getting guns	TIN
 monkeys have been used for centuries to dehumanize black people but none of that has anything to do with the th largest economy in the world and a  billion surplus everything else you are saying is nonsense againtske your l and leave	TIN
 i cant cuz that nigga retarded smh	TIN
what if i told you theres a group in israel amp in america that has been controlling us foreign policiy for decades using spie lies amp quasi blackmail schemes would you believe me maga americafirst the url	TIN
 and they did pr is a shit hole run by corrupt liberals it was destroyed and it will take years and years and years to rebuild	TIN
 lisa page confirmed the russia story was passed to the msm as a distraction for gullible liberals to push as a narrative to hinder our duly elected presidents success in office	TIN
 antifa is israels thug squad in america	TIN
 she is getting death threatscan you go and be a shield for her so you dont have to wait	TIN
 well they will start banishing all accts for promoting url fb gave brandon a  day zjail time im sure tomorrow applejacks will do it too lets all just do it and see how many conservatives amp walkawaymarch ers they shut downpoof fb begone	TIN
 you are neither authority nor arbiter have a seat	TIN
 he is a knucklehead he is not making good decisions	TIN
 i miss you bitch	TIN
 got your ass lmao	TIN
 the pope is complicit make no mistake anyone who harms a child   	TIN
 playing dirty is the only way liberals can win at this point they are shameless	TIN
 but not long ago the same ray went off on a follower who quite possibly pays for his services for pointing out a guy dont remember who for getting injured again you guys pay this assholes bills	TIN
 that or she is an awfully good transvestite	TIN
 i have he is desperate to see what im saying and report me shame as he usually says nothing another antifa pussy no doubt	TIN
 but to go all antifa on ppl like friggen milo i dont buy that conservatives who like medicare don blackout and then going millennials for antifa protests	TIN
 its amazing that these demorats are elected to any public office their total disregard of the us constitution and due process is abhorrent they hung this woman out to dry and the woman refuses to come foward and its the conservatives fault	TIN
 the irony is that most murders are done by illegal gun users who are gang members  this predominantly only affects latino and black families the problem is not gun control the problem is judges who let violent gun offenders back on street after shooting someone	TIN
 again for the hard of hearing an ar is an inanimate object an ar is not inherently evil gun control doesnt decrease gun violence armed citizens are less likely to become victims of mass shootings the holocaust was not prevented by banning ovens	TIN
 ok but please understand that i am not one of dubakoor mumtaj dubakoor army i only support her for certain things i get what you are saying and i dont understand how she has survived from up to this point for me she is not fit for title winner	TIN
 resign youre an idiot  url	TIN
 lucky bitch 	TIN
 so is fox news now campaigning for the fairness doctrine or is this just republicans using the power of congress to force private companies to broadcast whatever the gop says as truth when will nra tv have pro gun control nra members on	TIN
 a perfect description of antifa fascist shit bags	TIN
an alreadydebunked viral hoax tell me who decides if a meme has been debunked a potentially biased human has to thats who url facebook rosetta memes qanon maga url	TIN
 ummm theres video of it and the coach literally admitted to it lmao maybe read before having strong shitty opinions	TIN
 no other st world country has bullshit like this because they dont have bullshit problems like this fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control url	TIN
 dont disrespect sharpie like that bro it was definitely some off brand shit from the back of a dollar tree 	TIN
 and this isnt considered hate speech for the liberals if a republican said that about democrats the msm would be raising  kinds of hell the hypocrisy is to be expected now	TIN
 why do all crazy liberals have crazy eyes lol url	TIN
 smack the shit outta her 	TIN
 murda fucker	TIN
 and he took away the constitution from us congress refuses to restore it to us why is that article  sec  was taken away and because of that there are no gun control laws anymore obama is a stupid man	TIN
 this is the most consistently stupid argument gun control advocates make	TIN
 get back on your peanut farm old man	TIN
 climbs up the charts in christian musiconly to wither as a fig on a tree as a false prophet that is 	TIN
 liberals are not very smart	TIN
 friggen crook	TIN
 a band of liars eric has a big l on his forehead he is so disgusting who votes for these people or dont they really it has to be rigged	TIN
really  maga vote trump 	TIN
 hes a disgrace to his party and all he claims to stand for hes not on the side of conservatives he just wants to make a name for himself and anybodys cost	TIN
 what bhagwat tells shakha minions and what he says to rest of the world are two different things sanghi goons will keep on raping and killing but the stupid liberals will think sanghis are  not that bad dont get taken in by his lies else next  years india will disappear	TIN
 zimmerman belongs in prison for killing travon martin florida needs to change its gun control laws	TIN
 this pope is pure satanic god will strip him down to nothing and cast him to hells fire for his crimes	TIN
 democrats  thugs	TIN
 what does it matter who i vote forits the left who pushes for gun control yet portrays black men in music vids as violent gun usersstfu lmao sleeping fools	TIN
 she is doing a crap job of running this country and that idiot cant supply the country with an alternative opposition as long as he is running the labour party	TIN
 i bet the first ones she calls when she is being robbed is those very same police people are freaking stupid  	TIN
 have you ever seen antifa burning college campuses and trashing them any time a conservative comes to speak  educate yourself please 	TIN
 and these are the people pushing for gun control 	TIN
meneither she is a liar clear as day a liar url	TIN
 talk about the pot calling the kettle black you should be ashamed of your cash payoffs to iran amp of you helping iran to become a necular power it would be better if you just set your sales and gave us all a big wave goodby will clean up your mess url	TIN
 biglylolbigly he didnt wonhe was elected by the people of the united states aholewhat hell are you referring to antifa fools that get their asses kickedvagina hatslol pathetic ass	TIN
 is a blight on womanhood grow up	TIN
 we are done you have no knowledge base for any of this and you are drunk on lies	TIN
 an idiot where the fuck do they get these people	TIN
adulting is knowing who fucked cut off in your future plans	TIN
 no one is mistreating her but you are all mistreating kavanaugh this man may be innocent but you liberals are jumping on this just because you hate trump so you all do the right thing and after  years its her word against his so there is no contest	TIN
 colored people should vote what color is she referring to im white and bright white is a color next racial dividing statement ms obama	TIN
liberals grasp at unproven straws  notplastic url	TIN
 bernie you have been in congress how long now that you are getting closer to your death bed since you are old as dirt why a concern now how many bills did you try to write or endorse before you decided to run for potus do tell	TIN
 oh shit the mafia have finally found me	TIN
 as im watching it bentley kept looking at me  he being crate trained again so we good for now he only allowed out to eat pee and shit and occasionally play time 	TIN
 looks like he is in the middle of shitting his pants must have ate one booger too many	TIN
 you mean exactly like conservatives are attacking this current victim	TIN
 you think its just antifa who stands up against fascists all decent people will look through history the flabby bigots will run with their tails between their legs like that always do	TIN
 and liberals think guns are the problem url	TIN
 i hope the fuck not	TIN
 obama done nothing fix the problem while in office now going about telling stories trump have being able to restore hope on gun control	TIN
  gun control mgk diss url via fucking new em wouldnt let the shit slide he was playin wit da kid 	TIN
 its because you are evil	TIN
 he is dumb and dumber all in one president its a two for one	TIN
a cute girl that ive had a crush on since earlier this year just called me funny and i want to throw up	TIN
 you are a boring individual its seems good too me	TIN
 i didnt tweet this lol i needa get my twitter off this shit	TIN
 fake news or propaganda is the enemy of this country	TIN
 its scary stuff to see how dedicated you are to preventing peoples access to resources during a crisis	TIN
 just because he is the elected president  doesnt mean he has earned it when he start serving the people of his country then by all meansit shall be well desrerved when you serve thos who you have hiding in your pocket give me a break you can keep your commander	TIN
 i hate politics you cnn are despicable liberals are treating judge kavanaugh like hes some sort of serial rapist that theyve captured at last redwave voteyes innocent until proven guilty	TIN
shame on and all the rest of the left wing media that are not doing their jobs and purposely looking the other way this is the best example yet of their fakenews bias maga walkaway from the bias and corruption of the left url	TIN
 its interesting to see the hypocrisy with these liberals when last year it was discovered that there was a hush fund for congressional sexual scandals while working for the government	TIN
 and people take pride in living in a place where survival is a moment to moment struggle a d everything is just shit they feel tougher and stronger than people in successful pleasant educated clean areas not plagued by violence and death ive been that guy	TIN
 you really have to let it go hes going to get confirmed you can continue to kill babies and gun violence will continue despite gun control	TIN
 so im not sure she is a woman for one mostly men throw out insults like that to each other or mean ugly feminist cat women with penis envy	TIN
 we all know that the left is going to believe all those lies demo liberals rats are there to destroy president trump nov is going to be red 	TIN
 will or ask for some sort of gun control or once again do nothing they seem to be really good at doing nothing	TIN
 gitmo could resolve holders issues along with all of obamas clowns	TIN
 hes so tired of all these liberals everywhere hes afraid all this will go away his money his power his tax payer paid junkets his unbridled arrogance is sick keep the pressure on its working	TIN
conservatives everywhere in my small red town kids need to be spanked and put god first they need to know consequences also them brettkavanuagh shouldnt be held responsible for something he did at  hypocrites how do sleep at night	TIN
 and then same liberals were accusing falsely in kathua case while hiding in shithole right now	TIN
 you are a bad ass keep fighting for us 	TIN
 bs made up by a lying liberala cheap filthy whore whose lies help to undermine real women who are sexually assaulted but with trashy liberals who cares right as long as the end can justify the means trashy libs tried same thing with judge thomas democrats are sick	TIN
 antifa as in anti fascism damn who wouldnt want that in america maybe our ancestors who fought the nazis in ww	TIN
 who appointed you the spokesman for the people at lake norman i guess you interviewed every person at the lake and it a unanimous poll against president trump not likely you are like most liberals who try to speak for everybody	TIN
 hahaha lunatic liberals are just too busy virtue signaling that they still dont get it url	TIN
 all communist democrat socialists are bad humans	TIN
 republicans constantly tell us about respecting law enforcement but ignore their judgment on gun control	TIN
 creepy old pedo desperately trying to be relevant just an old guy from the old world which trump has shattered	TIN
 but thats not convenient for democrats who must destroy a man in front of his wife and children for the sake of power power that allows them to weaponize the fbi  cia nsa irs all used against conservatives 	TIN
serenawilliams yes she should be boycotted she is a nasty bit of work	TIN
 very pathetic man 	TIN
 she is an activist liar who gop wants to get under oath she wont go and kavanaugh gets nominated	TIN
 no one needs hunting in canada spread the wordthere is no place in a civilized society for rifles and shotgunsthe coalition for gun control has  associations behind us to support and the liberals in the name of the safety of our kids mr blair ban those guns	TIN
 those arent conservatives those are whackos the religious zealots that isnt the republican party and we denounce them do you denounce antifa	TIN
 far left antifa just a bunch of bullies who get brave when in a mob confronting a few seems everyone is a nazi if they have a different opinion	TIN
 amazing that the dems are always the ones who hear the whistle	TIN
 psychotic liberals fake media amp rinos are walking on thin ice when they forget that real americans the ones who put trump in the white house will never allow them to take him out of the white house btwthanks for this kavanaugh bsinsures we will vote we are sick of dc	TIN
 no shes not she is looking for a job by being controversal she is very bitter	TIN
 that sucks 	TIN
 his mouth goes to one side all smirky and shit and i dont like it	TIN
 i have plenty of conservatives i work with that are not afraid to share their racism and hate for democrats it is sickening	TIN
 just imagine if dr ford was a member of a minority antifa would be firebombing the judges residence identypolitics	TIN
 why are you telling them to not do this i encourage antifa shits to try this and get dropped less of them the better	TIN
 vs antifa i know who my moneys on but seriously this is such a stupid thing to do url	TIN
 no news orgs are giving faith goldy the time of day thats simply wrong she may not have the experience of the other two useless fools but she cares and she is no ones fool	TIN
 god help us the woman cant even get coherent sentence out of her mouth	TIN
 so a pathological liar is going to give the judge a lecture on credibility because the judge wont admit to something he didnt do and we are the stupid ones  and liberals have no shame in the ignorance of their elected representatives	TIN
 well she is dumb as a box of rocks so will give her a pass	TIN
 dearprofessorford i want you to know that i have zero respect for you amp your antifa style attack on kavanaugh you thought you were going to drop a bomb with your face covered amp blow up a good mans life you have been exposed for the political hack that you are shame on you	TIN
 mxm nigger thinks we give a fuck url	TIN
 that is why you never want to deal with the leftdemocrats they have become lunatics trumpderangementsyndrome	TIN
 who cares what a union leader has to say big kate do u fawningly report lefty concerns because u and the left promoting cbc r doing the trudeau liberals bidding againu r a cbc liberal party shameful	TIN
 ramos sounds like a shitty ump	TIN
 isis apparently obama let them run the world getting nuked by korea blm destroying cities antifa	TIN
 im also a prohibited possessor thanks to obama and his every soldier has ptsd crazy administrationcant get life insurance eitherstill support the nra and the work they do for gun rightshoping trump will fix the wrongs of labeling veterans as a means to backdoor gun control	TIN
 cashing in on the book bandwagon cant blame her liberals love to throw their money at bullshit	TIN
 end of story where is the lying liberals witness 	TIN
 bitch i took four years too jdkdkdd	TIN
rssreachesout this one step by the rss can show the sense of nationalism it has when other urbannaxals are colluding with each other only to tear india apart are working so hard for the downfall of india shame on liberals	TIN
 he blocked me a long time ago after one response that called him out for lying hes an idiot who thinks his hit dont stick and loves saying stupid stuff to get liberals to love him a complete douchebag	TIN
 way to go david i love it when someone can send the liberals into a tessyfiy in the morning keep up the fight 	TIN
 bibi so looks like stalin when stalin was younger maybe he is starting to act like him a tad china is never your friend	TIN
 listen here lady my tweet was about the fact that im sick of hearing about trump every time i listen to news idk where the fuck you get off trying to spin it in to some sort of racial situation you are part of the problem stop turning shit in to something its not	TIN
 was al gore nominated for supreme court judge you conservatives have some nerve	TIN
 this is mainly fault he is to blame	TIN
 fake news he is a liberal dem	TIN
 you nailed that ass	TIN
 and its always during active play sit your butt down people	TIN
 mann i aint that smoove booty like you gee 	TIN
 you didnt read the whole thing most white mass shooters arent even considered terrorism because theres no political agenda to their murder like dylan roof	TIN
 bruh this lmaooo	TIN
 she is the daughter of her parents all illogical hypocrites	TIN
 you are full of shit sweetie	TIN
 jokes are funny if the person saying them doesnt really hate whites and christians thats a national past time for liberals these days funny stufffor the louis farrakhan crowd racist crap by any barometer	TIN
 david stop been a mouthpiece for the anti gun people you r nothing but a worm looking for fame now remember that antifa blm and all the radical left groups are violent and hurt people too but of course you agree with them	TIN
 and why do all the issues about pc only focus on liberals what about conservatives on kneeling on fake patriotism or republicans freaking out over an abortion	TIN
 he is an israeli puppet	TIN
 the gop has blood on their hands gun control	TIN
 good morning i just followed you back lets give these crazy liberals hell	TIN
 good arrest them all arrest the crazy ndp leader as well she is having her lil minions take a fall for her she planned this will she be paying their legal fees i think not the immaturity level of this goverment party is disgusting	TIN
 you are awful	TIN
 liberals and democrats are psychopaths yep something wrong with all of them	TIN
 there is no such thing where is this fascist left antifa are anarchists they are not socialists or democrats you folks on the right embrace authoritarianism and fascism look at trump he attacks all our institutions and the rule of law and fluffs putin	TIN
 paid protesters votedemsout kavanaugh	TIN
it should not be surprising that conservatives increasingly want to take that ultimate power of life and death away from the government url	TIN
 pussy and ass are different times and ive never in my black life ever ate chittlerings lol	TIN
 where is the fascist version of antifa	TIN
 another fraud senator from the left	TIN
 keep up the good work while the liberals waste time crying and pointing the country moves closer to greatness again maga	TIN
 so we should believe this from  years ago when the man went to an all boys school this was a way to try and stop the confirmation and blew up in face she is a corrupt pos	TIN
 lol throwing the bullshit flag on such nonsense putuporshutup kavanaugh maga callthevotealready url	TIN
 askally please tell me something what should i do to help my mom when she is at home with a broken leg cause shes in hospital now with a broken leg 	TIN
 now i know youre having a laugh do you really believe that the media arent picking on him as for getting his shit together what shit would that be	TIN
 girl bitches aggravate me	TIN
 trudeau and liberals are incompetent to handle it	TIN
 are all you liberals idiots	TIN
 molested me  yrs ago when i was yrs old i didnt want to say it till now she should thrown in jail according to liberals amp metoo you have to accept my allegations blindly there i said it confirmjudgekavanaughnow senatorfeinstein democratshateamerica url	TIN
 who does he think he is the dumb donald	TIN
 documents must be getting close to this crook	TIN
 that solved the problem in chicago alright i wish these leaders would think up something different to get attention gun control is getting old	TIN
 and niggas still gonna complain about geno ffs	TIN
 you are such a lier and all for money nobody wants  francoism here in spain except ppl like you and your fascists separatists friends to smoke screen all the money embezzlement here in catalonia why all your friends are with vlaams belang ampthe italian nazis nazi url	TIN
 actually it seems more specific than that it appears the cbc is saying opposing gun control is the same as covering up child molestation in the catholic church wtf	TIN
 i love you bitchhh i aint never gonna stop loving you bitchhhhhh	TIN
 fuck bfa im going back to rift	TIN
 alternative people died in pr because of a freakin hurricane you half wit	TIN
 donald trump said mr cruz is a lying dog you cant trust him or his wife said his father was involved with shooting president the president in texas in dallas america cant trust him he is a lier then how can he stand up for him down there in texas campaing	TIN
 fair point but i didnt make the meme and couldnt take the big gov sucks off of it and besudes meddling in many counties politics and economics he funds antifa black lives matter to try and divide we the people to try and tear the country apart url	TIN
qanda what happen to the predicted fall of society after ssm only the religious conservatives right are the ones running a muck in government	TIN
 she is wortless why is she not checked out by secret service she is irresponsible in trying to generate hste to have somone kill thre president	TIN
im assuming im not going to get an answer brainless liberal stooge ocasiocortez  on t policy plan url wakeupamerica this is not americas future vote republican or surrender america to these dem morons maga	TIN
 by which point the fuckingclass was nearly over lol	TIN
 democrats are sick back off amp let our president trump continue to help all americans	TIN
 he should bash trump and that will change liberals hate trump more than pedophiles	TIN
shameonyou conservatives proud of yourselves for inflicting such horrors on the folk of palestinian url	TIN
 he will blame it on the fact that he is hispanic of course	TIN
 a huge fuck up on my part	TIN
 who really listens to those post menapausal angry yentas except hardcore liberals and femanazis	TIN
 he ruined the brand for what kaepernick	TIN
 lock him up he is insane	TIN
 is mentally disturbed	TIN
 one really horrible incident i could show you hundreds of antifa but they didnt kill anybody yet	TIN
 wow that lien bitch is at it again url	TIN
firemorningjoe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump url	TIN
 you are a member of  years arent you surely that means he abused you i mean i know you dont understand idioms but this is next level ignorance	TIN
 yeah way to ruin the fucking hype this is why you werent invited to dennys after we finished with andreas lol	TIN
 you look happy maga	TIN
 haaaaaa cause it never happened so if ye gonna tweet shit make sure its fact kid 	TIN
theresamay monstermay conservatives must answer for their crimes dwpcrimes dwp tories toriesout url	TIN
 thats shitty	TIN
 elder and owen have been the bravest in pointing out that the culture is part of the problem liberals have engrained this short lived culture culture can change and will being black doesnt have to be linked to poverty and resistance	TIN
 she is no doubt the greatest female athlete but a sore loser imo	TIN
 what that you are a coward that cant put your own pic up yet you feel you can judge others looks yep im sure people do call you out on the regular	TIN
 although i think that carter was a decent man he was without a doubt the nd worst president in my voting history  was the worst if there was any question	TIN
 she is one ugly and dumb woman	TIN
 trump called trudeau very dishonest and weak and the conservatives cheer conservatives in canada are trump supporters they will accept any crumbs that fall off trumps table	TIN
 i have long thought that liberals are children trapped in adult bodies	TIN
 look at the pot calling the kettle black liberals have been pulling all sorts of stunts trying to get rid of yourmyour president ever since hillary hilariously lost the election	TIN
 needs serious psychiatric help this guy is an anger management bi polar psych  case study url	TIN
 holy shit get a lawyer false advertisement colon in not a football player he is a vag head	TIN
 liberals have no shame to them the outcome justifies the mean	TIN
 please draw stupid sexy nezha and nidus over the shoulder or something	TIN
 youre either a bot or for some reason youre associated gavin mcinnes with the altright time to find some better news sources bro the altright hasnt been relevant since cville your journalists covering antifa or just focusing on a few harmless conservatives	TIN
 liberals sure love to spend other peoples money  hope and change really works well for the obamas who are multi millionaires their fortunes have really changed for the better  if liberals have any brain cells left theyd vote for president trump 	TIN
 cops rarely got shot in countries with gun control	TIN
 lol she is such a troll im so glad she went away and all u trump supporters told her to gtfo thank god we got a real superstar in who is going to actually fight for everyone no matter who they choose to vote for isnt she awesome please join us we rly need ur help	TIN
 his legacy is crap why would anyone want to save crap	TIN
 what part of no collusion dont you get this is why you are a dumocrat	TIN
 serial rape didnt seem to be a problem for liberals with bill clinton and hillary who enabled him go figure  can you say hypocrisy	TIN
 conservatives would do anything to eliminate the value of laborers in this country people worked and died for this holiday dont want to see it lost to some fake constitution worshiping by people who do not value the constitution in any way such as the far right	TIN
 either she is misinformed or has no shame im going with she has no shame	TIN
 did you see what she said about travis on ellen thats one hating ass bitch 	TIN
 give me a fricking break they are worse than the southern baptist with a pagan idolatrous	TIN
 bakkt is doing what an etf would have done they are just not calling it an etf fuken cuuuuuks	TIN
